,Unnamed: 0,e1_in_ksb,e1_out_ksb,e1_error_ksb,e2_in_ksb,e2_out_ksb,e2_error_ksb,e_in_ksb,e_out_ksb,e_error_ksb,e1_in_reg,e1_out_reg,e1_error_reg,e2_in_reg,e2_out_reg,e2_error_reg,e_in_reg,e_out_reg,e_error_reg,e_in_obs_ksb,e_out_obs_ksb,e_obs_error_ksb,mag_in,mag_out,delta_mag
28260,28260,0.2276231497526169,0.2315277606248856,0.003904610872268677,-0.17980407178401947,-0.1983294785022736,-0.01852540671825409,0.2900720643795522,0.30486010887447723,0.014788044494925047,0.43739438056945795,0.4411639273166657,0.0037695467472076416,-0.3448585867881775,-0.373693972826004,-0.028835386037826538,0.5569930780856067,0.5781632953517082,0.021170217266101462,0.17640519215502884,0.1830697179791188,0.006664525824089967,-2.861004527000065,-2.8533912,0.007613356498356261
28261,28261,0.028890436515212062,0.0295251589268446,0.0006347224116325378,0.005843790713697672,0.01277422159910202,0.0069304308854043475,0.029475535821168675,0.03217010642068807,0.0026945705995194,0.06552915275096892,0.06672823429107666,0.001199081540107727,0.013350166380405426,0.02756778337061405,0.014217616990208626,0.06687523310347655,0.07219861447128971,0.005323381367813157,0.005076102152472722,0.009314481057631751,0.004238378905159029,-4.0898212932426175,-4.0966473,-0.006825969330624737
28262,28262,0.017452720552682877,0.0383707620203495,0.020918041467666626,-0.02114550769329071,-0.023495562374591827,-0.0023500546813011174,0.02741769410977254,0.044992853091581464,0.017575158981808916,0.03637915849685669,0.08046472072601317,0.044085562229156494,-0.044340696185827255,-0.049569573253393166,-0.005228877067565918,0.05735451604872328,0.09450774504789967,0.03715322899917641,0.014802397255703485,0.026004583176709447,0.011202185921005962,-3.596518326445925,-3.5719488,0.024569559737551483
28263,28263,-0.00483896816149354,0.02630232460796833,0.03114129276946187,-0.00204811105504632,-0.02069265767931938,-0.018644546624273062,0.005254557237460747,0.03346637658331765,0.028211819345856905,-0.009282457642257214,0.06180327385663986,0.07108573149889708,-0.004755285102874041,-0.04718641564249992,-0.04243113053962588,0.0104296095943192,0.07775733071926777,0.06732772112494859,0.010768609103591736,0.0053081494065995395,-0.005460459696992196,-2.945735352342708,-2.9248232999999995,0.02091206819353797
28264,28264,-0.16612762212753296,-0.13061818480491638,0.035509437322616584,0.6956857442855835,0.7154186964035034,0.01973295211791992,0.7152461405949246,0.7272448152894728,0.011998674694548184,-0.21375173330307007,-0.16572615504264832,0.04802557826042175,0.9053397178649902,0.925947368144989,0.020607650279998783,0.9302310509942824,0.9406613030415631,0.010430252047280986,0.4087898009556029,0.3979960106160167,-0.010793790339586162,-3.5824072304024863,-3.5926988,-0.010291582082254893
28265,28265,-0.09703272581100464,-0.04702737182378769,0.05000535398721695,-0.00180312164593488,-0.007980665192008018,-0.006177543546073139,0.09704947772133367,0.047699734984166416,-0.04934974273716728,-0.21070615947246552,-0.1007024422287941,0.11000371724367143,-0.003827077569440007,-0.017700983211398125,-0.013873905641958116,0.2107409124075308,0.10224630397962467,-0.10849460842790616,0.049383480742539086,0.031031497369554833,-0.018351983372984264,-2.7640457020714897,-2.7519252,0.012120472045244579
28266,28266,0.006902165245264769,0.02367393486201763,0.016771769616752863,-0.015925947576761246,-0.0217988844960928,-0.005872936919331551,0.017357295045331466,0.0321814629425862,0.014824167897254732,0.014555243775248528,0.049957599490880966,0.03540235571563244,-0.03323258832097053,-0.04617302119731903,-0.012940432876348495,0.03628029834315063,0.06802727124748825,0.031746972904337624,0.010825362253876468,0.01813995133224364,0.0073145890783671685,-7.088424170144906,-7.091189,-0.002764737478385016
28267,28267,0.05093427374958992,0.056782234460115426,0.0058479607105255136,-0.0901874229311943,-0.09216545522212982,-0.0019780322909355164,0.10357640415349567,0.1082529135246989,0.0046765093712032154,0.10722380131483078,0.1197672188282013,0.012543417513370514,-0.18957778811454773,-0.19283205270767206,-0.0032542645931243896,0.21779963570861788,0.2269986503424562,0.00919901463383832,0.05846522070129214,0.06227149508100228,0.0038062743797101367,-4.735799118908057,-4.731264,0.004535004528174014
28268,28268,-0.09834939241409303,-0.09730275720357896,0.0010466352105140686,-0.0037748771719634533,-0.008435588330030441,-0.004660711158066988,0.09842181001121993,0.0976677311597458,-0.0007540788514741048,-0.20414093136787412,-0.20114398002624512,0.0029969513416290283,-0.007749675773084164,-0.017457172274589542,-0.009707496501505377,0.204287976480093,0.20190010788660606,-0.002387868593486886,0.0697437045649322,0.07159899494746788,0.0018552903825356651,-3.5385375393919887,-3.4986252999999996,0.03991226091908828
28269,28269,0.21993906795978546,0.189746618270874,-0.030192449688911438,0.4909735918045044,0.4553734064102173,-0.03560018539428711,0.5379853729093712,0.4933241514571101,-0.04466122145226109,0.35816603899002075,0.3185802102088928,-0.03958582878112793,0.7917258143424988,0.7433169484138489,-0.0484088659286499,0.8689721955172639,0.8087109719399254,-0.06026122357733854,0.26664447836924343,0.27547147461980964,0.008826996250566209,-4.2053985982842566,-4.1443005,0.06109813746882686
28270,28270,0.01861126534640789,0.021914418786764145,0.0033031534403562546,0.024735679849982258,0.01873944140970707,-0.005996238440275192,0.03095533969180797,0.028834153622215537,-0.0021211860695924296,0.037297587841749184,0.04419254139065743,0.0068949535489082345,0.049643602222204215,0.037439800798892975,-0.012203801423311234,0.06209345618025651,0.05791993955820186,-0.004173516622054646,0.029019850753831913,0.02675955993152316,-0.0022602908223087505,-6.179041734929288,-6.1561537,0.022888056035244908
28271,28271,-0.6519812941551208,-0.587311863899231,0.06466943025588989,0.07737419009208679,0.051216870546340935,-0.02615731954574585,0.6565564509016666,0.589540832602246,-0.0670156182994206,-0.9356335401535034,-0.8612028956413269,0.07443064451217651,0.11064773052930832,0.0711417943239212,-0.039505936205387115,0.9421534066867582,0.8641363216302352,-0.07801708505652294,0.31288145644117515,0.3242207455186346,0.011339289077459458,-3.4445662129806527,-3.4265985,0.01796766409149253
28272,28272,0.00013845122884958982,-0.009077736176550388,-0.009216187405399978,-0.005937241483479738,-0.014943413436412813,-0.009006171952933073,0.005938855544288196,0.01748459033613927,0.011545734791851071,0.00031358498381450767,-0.019674532115459442,-0.01998811709927395,-0.012453447096049786,-0.030950406566262245,-0.01849695947021246,0.012457394595828808,0.036674444516300087,0.024217049920471287,0.00679894344461884,0.01584389188452891,0.009044948439910069,-3.797844048368085,-3.7355242,0.06231987081681556
28273,28273,0.061670921742916114,0.10763075202703476,0.04595983028411865,-0.019826991483569145,-0.03702352195978165,-0.0171965304762125,0.06477972043711215,0.11382056035801034,0.04904083992089822,0.1317637860774994,0.22834984958171844,0.09658606350421907,-0.04243989288806915,-0.07864013314247131,-0.03620024025440216,0.13842990944816733,0.2415117478398495,0.1030818383916822,0.041169650046038835,0.06990480606728453,0.028735156021245687,-2.9891643834564907,-2.8866215,0.10254290823676417
28274,28274,0.037192463874816895,0.049239367246627815,0.012046903371810913,-0.0077592916786670685,-0.013274447992444037,-0.00551515631377697,0.03799323593002038,0.05099731616813168,0.013004080238111304,0.08178814500570297,0.10850296914577484,0.02671482414007187,-0.017269426956772804,-0.029308851808309555,-0.01203942485153675,0.08359146948636091,0.11239173949970886,0.02880027001334795,0.014252975405440509,0.02056911001156641,0.006316134606125902,-3.1309597089464885,-3.0632252999999996,0.06773443962886105
28275,28275,0.0901252180337906,0.043292157351970666,-0.046833060681819916,-0.3874010741710663,-0.3258202075958252,0.06158086657524109,0.3977463352370884,0.3286837668123791,-0.06906256842470926,0.1760518103837967,0.0944504663348198,-0.0816013440489769,-0.7407360076904297,-0.655217170715332,0.08551883697509766,0.7613698661153911,0.6619897517266181,-0.09938011438877303,0.15891886114344791,0.14592509073883972,-0.012993770404608196,-2.738798003862052,-2.7328956,0.005902391145377273
28276,28276,0.0009391834028065204,0.0013089946005493402,0.00036981119774281984,-0.01881514675915241,-0.015924835577607155,0.0028903111815452576,0.018838572478628808,0.015978543583133286,-0.002860028895495522,0.001870259642601013,0.0030432685744017363,0.001173008931800723,-0.038259875029325485,-0.032238774001598365,0.006021101027727127,0.038305559758217166,0.0323820943229754,-0.005923465435241762,0.015701177431942204,0.013466925888787055,-0.0022342515431551468,-5.359753991750951,-5.341007,0.018746759084935505
28277,28277,-0.390414297580719,-0.38178133964538574,0.008632957935333252,0.3562387526035309,0.3777346312999725,0.02149587869644165,0.5285161990062044,0.5370665163503973,0.00855031734419287,-0.5776363015174866,-0.5592917203903198,0.018344581127166748,0.5282608866691589,0.5535781383514404,0.02531725168228149,0.7827664154875876,0.7869281947915008,0.004161779303913149,0.403048230969509,0.4067722794403626,0.0037240484708536132,-3.126857782684509,-3.157371,-0.030513261474426127
